,text,label,rating,username,round,id,win,score
249,"I think the whole point of this formation period is that they're getting to learn who their parents are, how much they love them and this is going to affect them for the rest of their life because that bond is really incredibly, incredibly important; for two reasons and speech.",constructive1,,123dyly,round2,123dyly_round2,0.0,74.0
250,"First, as a unit motivation, right? This is incredibly important because of the fact that many children, especially at those age, don't really give a damn about school. They just want to have fun, they want to eat ice cream like this that, they don't really care about the long haul and making sure they get a good career at that point. So the motivation to work often has to do with the bond you have with your parents, like making them feel happy, right? When the parent says... Speaks from a place of authority, when they've actually spent a lot of time with you and you care about them and are invested in it as a child, right? You're willing to do what your parents said.",constructive1,,123dyly,round2,123dyly_round2,0.0,74.0
251,"You're more likely to actually put value in education because your parents do. But also feeling loved is critical for social formation, to prevent social isolation. Think of all the reasons why many, many kids turn out to be school bullies and not care about school to begin with, right? Many of that has to do with being ostracized and not having a good situational, situation at home.",constructive1,,123dyly,round2,123dyly_round2,0.0,74.0
1512,"compare test scores, but the differences on our side, we don't impose this metric of self evaluation where it becomes deeply ingrained by parents as per the analysis we heard in the PM of how these values become deeply ingrained and are used in self valuation later on. And also, I would say the parents have the ability to push back against this by saying that self value does not come from that, does not come from comparison. It is internal, right? This is the difference that we have for the metric of evaluation. This bar is able to be met easier on our side of the house because it is innate to them. But on their side of the house, it means you have something constantly you need to strive for in order to achieve. We'd say that being exceptional is something additional in terms of achieving happiness, as opposed to the base level we're able to receive from our parents telling us of why they value us. Not because of our performance. It puts us in a double bind of saying we gain happiness internally and from our parents if we succeed. And if we fail, we get nothing. On our side, at least we get the love of our parents. But secondly, I think parents are inflating their expectations of children and that sets a bar for happiness that is difficult and often impossible to attain. That's for two reasons. First is a talent distribution. It gets unrefuted by them, and second is the idea of structural barriers that exist. It means that children aren't always going to live up to be exceptional among their peers. This is still true for rich kids who aren't able to necessarily compete with kids at their private school and are going to be comparing themselves in that context and are able to become exceptional because their parents have even higher expectations of them than other parents may have of their different children. Right? I would say that generally this means that no kids get to actually achieve this generally or it's very hard for them to, because of the affirmation reasons I gave you. And why they're likely to succeed to a point that is comparatively so much better than their peers around them. 

",constructive1,5.0,123dyly,round6,123dyly_round6,0.0,76.0
1513,"On to learning and development. First I think the misallocation of time and talent, is there an incredible harm to these children? Again, it sets them on tracks in which they believe that they will succeed and be special. It means that the kid who thinks he starts off in little league because his parents say ""you're special and you'll get all the home runs"". It goes in. It feels like just like an average job and never really gets to that level of where it feels special, but maybe he would have been a fantastic pianist. The world will never know because he said he was special and he's playing baseball for the rest of his life. Second is learning from peers. It unlikely you have that nuanced narrative on their to the house where they go, well, this is my special thing, but that guy I can learn from him because he sure is special in his thing. Well that's far more likely to be on our side of the case. When you tell people that they're all innately special, all have some kind of intrinsic value. It means you don't learn from the peers around you. But third, is that you're unlikely to get self-improvement because Omar tells you to blame society every time you fall, because if you don't succeed that are letting you down. If you don't succeed, then it is society's fault. At what point do you call for introspection and identification of personal flaws when the idea is that if I'm not capable of this, then therefore society must be wrong. There's no principle to guide this issue if there's no actual working to change yourself. But then fourth, is a double bind where they say that children are able to benefit from this area, receive happiness from it up the point where they rationalize it. Later on to say, well maybe this is where I could self improve. But either you get that happiness of saying I'm special all along the way or you don't because then they get a reality check and it goes into the source of saying like, well maybe I'm not special at these sorts of things.  ",constructive2,4.0,123dyly,round6,123dyly_round6,0.0,76.0
1561,"really important for parents to also be able to teach associated characters traits. If you are generous and good and honest, you can achieve your full potential and this potential is exceptional, right? We think that is a question about P-O-I, about whether this is an excuse for bad behavior, right? But we think that bad behavior sometimes happens, that it is not necessarily that you are able to have everything you want, but rather that your potential is really high and that you can, through work, get there. Right? We also think that we created an optimistic view of the world. Also, we think that bad behavior often gets rectified throughout... in other ways, like in the classroom, a parent's going to be like, ""Stop bragging about your brain,"" right? The teacher will say this and we think that parents teaching inherent self-esteem is a way more important early developmental mechanism. Why is this the case? We think that parents are uniquely important for socialization. Julia tells you this, but parents have a very unique control over how kids think, whether or not it's rational, right? Because we think that's why parental pressure is so disproportionately hard even when the kid... even when it doesn't totally make sense. We think in the absence of this positive messaging from your parents, kids have less wrong intuitions about what they deserve. They have internalized lower self-esteem. We think that this doesn't even have to matter because we think that kid names are often exaggerated for kids as well. When parents say you can be president if you want to, it doesn't mean they actually need you to become presidents for their own self-fulfillment, right? It's to give you an exaggerated version of you believing in yourself because... That you can achieve a lot of things, that you are really smart, that you are really capable of being hardworking and doing all these hard things. It doesn't mean that when kids are 15 they're going to still think their parents want them to be president or Mark Zuckerberg, right? But what it does mean is that they believe that their parents believe in them and that they have this self-worth, that they deserve to at least have a shot at trying to achieve these things.  ",constructive1,5.0,aabruzz1,round6,aabruzz1_round6,0.0,76.0
1562,"Why is this so important for minorities? It's important for kids who are throughout their life going to face structural types of oppression that they're... where society is telling them that they don't deserve these things, right? It doesn't matter whether they... What we think matters the most is that kids are told from an early age that they deserve... not to be subject to these kinds of other outside oppressions, but rather that they deserve to be able to achieve better things because of their potential. ",constructive2,2.0,aabruzz1,round6,aabruzz1_round6,0.0,76.0
1563,"Then let's talk about this issue of bad behavior. We think bad behaviors are brought up at the P-O-I as an expression of low self-esteem. For example, a lot of cases of bullies in the school yard are kids who are bullied by their older brother who then lash out at school to feel the sense of strength. We think that when parents and imbue their kids with good self-esteem, kids often don't become bullies because they feel good enough about themselves and don't need to act out or take it out on a smaller kid about how bad they feel about themselves. Also we think parents can just teach good values like a contingent potential like we talked about, how kids parents can say, ""You can achieve all these things and it's contingent upon you working hard and reaching your potential,"" which isn't just a straight path, but rather you will have to overcome obstacles. You will have to do good to other people, right? We think all of these things matter. What are the manifestations of this? We think later in life this can have important impacts, like making people be able to recognize when they're in abusive relationships. Making people understand that when they don't get passed over for a promotion because of bias within your bosses prejudice, that that's not something you deserve, that you are capable of doing better. We think that these kinds of early self-esteem issues can manifest into people caving to these outside messages if they don't have this inherent self-esteem.",constructive3,3.0,aabruzz1,round6,aabruzz1_round6,0.0,76.0
1388,"Another thing that's important and I will be rebuilding is my partner's argument of how putting women in power through things like education is effective. First of all, one thing that should really be noted is that by giving just wider education to a country, the country's values will tend to shift to the left. This cannot be understated. People who have gotten a proper post-secondary education, though maybe not like left-wing, are less likely, just statistically speaking, to believe some of the more pernicious sexist ideas about women. They are less likely to try and or to have just a fundamental misunderstanding of the sexes as we can see from the way in which the more educated tend to have a more egalitarian understanding. So even if no women benefited or went to post-secondary, there would still be the beneficial cultural aspect of education. [crosstalk 00:05:36]",constructive1,2.0,adamursenbach,round2,adamursenbach_round2,0.0,73.0
1261,"Now to rebuild my partner's arguments, again by unifying the voice of these countries, it will give them a natural presence on a political stage. By this tighter unification, just on an international level, the closer a group of countries is, the closer they are as a unified block, that you know that you will not be able to interfere with individually quite as much, the more that you will have the incentive to treat them as a unified power, as a power of which, rather than just conflicting, you have to deal with as a whole, and that makes it much more formidable as a group",constructive1,,adamursenbach,round4,adamursenbach_round4,0.0,74.0
